Text,"sentiment (-1 for pro-palestine, 0 for natural, 1 for pro-israel)"
🇮🇱 Join us in the battle against jihadist Muslim invaders who have committed unspeakable atrocities. ,1
It's crucial to raise awareness about the October 7 massacre and support efforts to bring justice for the victims,1
"It’s not complicated, end the occupation!",-1
A reminder to everyone that these armed Hamas Muslim Brotherhood savages on October 7 were dressed as civilians.,1
"Gaza City has fallen.
It is over.

Exactly 3 month after October 7.",1
Happy October 7 to Everyone!,-1
There are no hostages. The war is about real estate and getting the “riff-raff” out #peace,-1
"Hamas terrorist threw a grenade into a place where an innocent woman was hiding, injured her, dragged her outside, shot her in the head, and proceed smash her head open.",1
"“Hitler was great,” West allegedly said. “Hitler was an innovator! He invented so many things. He’s the reason we have cars.”",-1
The leaders of the anti-Israel protest camp at Australian National University just explicitly endorsed Hamas on ABC Radio. ,1
Yeah you should see what's happened to doctors in gaza..... which you deny is happening,-1
Beatrice Tucker: “Hamas deserves our unconditional support … I will not condemn what Hamas did on October 7.”,-1
Zionazi,-1
“I have seen no traces of anti-Semitism at our protest camp … I will not condemn October 7.”,-1
"“Hitler was a good person,” He continued, according to the suit. “Jewish people are bad, and they run America. And Chinese people run them.”",-1
"You know they throw she-males off buildings in Gaza, right?",0
"🚨 In Beverly Hills, California, right now: a flag for every victim of the genocidal attack by Hamas on Israel on October 7.",1
"Israel refused to participate in an independent UN investigation on sexual assault on Oct 7, and refused to introduce the UN's Pramila Patten to any survivors. The UN investigation found no evidence to support Israel's allegations.",-1
Israel is now so desperate for rape propaganda it is torturing Palestinian prisoners into confessing to sexual assaults they clearly never committed,-1
"The new Member of Parliament for Rochdale with the head of Hamas who recently said ‘""We should hold on to the victory that took place on October 7 and build upon it.”",-1
"“We have to control the history books, we have to control the banks and we have to go and kill people,” West said while doing an impression of Netanyahu and holding a net meant to represent the former premier.",-1
Fuck Isræl,-1
"The 'Army Of Jerusalem' Will Not Liberate Palestinian Land Only; The 512 Million Square Kilometers Of Planet Earth Will Come Under A System With No Zionism, No Treacherous Christianity",-1
"The NY Times sent a stringer, Anat Schwartz, to every rape crisis center in Israel to find sexual assault survivors, and she turned up nothing (she was later fired after the Times' article alleging ""systemic sexual assault"" on Oct 7 was debunked from top to bottom)",-1
These protests are part of a wider global objective than just the Gaza issue.  Ask what is the ulterior purpose?,1
" “Every human being has value that they brought to the table, especially Hitler.”",-1
"Over the last 111 days, since October 7, Isræl has consistently denied targeting civilians. Well, in this video, I am going to show you that in the history of its occupation, not only does Isræl actively target civilians, but they specifically target children. ",-1
"“The Zionist Jews are out to get me. They are a part of human sex trafficking,” West allegedly said. “The Jews are working with Adidas to freeze up my money to try and make me broke! The Jews can’t stop me. Adidas can’t stop me. I will be the richest person in the world.”",-1
"We all have been collectively forced to observe the core of unmitigated and unbounded state terrorism carried out by Isræl, shielded by the sponsorship of the wide majority of the Global North, their governments, and their media. The institutionalized Isræli policies that involve the actions of killing, maiming, abducting, abusing, jailing, and r@p!ng children has yet to be brought to the forefront of Western consciousness. ",-1
Secret MI5 Files discover Zionist plot to kill Churchil,-1
"“I see good things about Hitler,” he, told Jones during the bizarre appearance on the Infowars Network, alongside Holocaust denier Nick Fuentes.",-1
The Zionists are holding a country hostage for 76 years,-1
"“I am on some complete Hitler-level stuff minus the gas chambers,” he allegedly wrote. “In Jesus name.”",-1
One of the most horrifying videos from October 7. A terrified and bloodied Naama Levy is pulled by her hair from back of a jeep as crowds of Gazans celebrate and jeer.,1
Stop Isræl!,-1
"“I like Hitler,” he added later, and called himself a Nazi.",-1
"October 7.

Never forget.",1
I prefer my kids knew Hannukah from Kwanzaa. At least it will come with some financial engineering,-1
Zero Israeli women have testified to being sexually assaulted on October 7,-1
Realese the Hostages! 🎗️🎗️🎗️,1
"“They did good things too,” West said. “We’ve got to stop dissing the Nazis all the time.”",-1
Hamas fighters saw a young disabled Jewish woman in a wheelchair at the Nova music festival on October 7. In the name of “liberating Palestine” they executed her and her father in cold blood - an innocent woman with muscular dystrophy who could not hurt a fly.,1
"Before the October 7, 2023, escalation, Palestinians in Gaza and the West Bank faced significant hardships and violations. The situation in Gaza was dire, largely due to the blockade imposed by Israel and Egypt since 2007. This blockade severely restricted the movement of people and goods, leading to a collapse of the economy, chronic shortages of essential supplies, and a humanitarian crisis.",-1
#DissolveIsrael,-1
"I just think that’s what they’re [jewish people] about, is making money,",-1
How is it that nothing before October 7 justifies October 7... yet everything after October 7 is justified because of October 7?,-1
"Long live Hamas, we have gratitude for October 7. All Zionists are terrorists.",-1
When Zionist propaganda doesnt work anymore,-1
"Watch: video documentation of the October 7 massacre, as filmed by the terrorists themselves.",0
"The UN investigation ""has not been able to independently verify"" Israel's allegations of Oct. 7th sexual violence, ""due to a lack of access to victims, witnesses and crime sites and the obstruction of its investigations by the Israeli authorities."" Meanwhile, it ""found some specific allegations to be false, inaccurate or contradictory with other evidence or statements.",-1
Unsurprisingly ‘human rights’ campaigner Roger Waters calls the reality of Hamas raping Israelis on October 7 a “filthy lie”. Then he goes on to bizarrely reason with himself to calm down. Absolutely mad. Despicable. And dangerous.,1
"This is why Israel refused to cooperation with this probe: the Israelis knew that, unlike US establishment media and other dupes, the UN probe would be looking at the actual evidence.",-1
"If it was my sister or cousins and they supported the state of Israel, ""You deserve it."" Is what I would say.",-1
"On October 7, 2023, Hamas terrorists invaded Israel from the Gaza Strip and massacred hundreds of civilians and committed unspeakable atrocities",1
"THEY TOOK HER. October 7, 2023. Let’s not forget how this all started. Thousands of innocent people were murdered. Hundreds were raped and kidnapped. One of them is a 19 year old girl named Naama Levy. Imagine if this was your daughter, sister, cousin, granddaughter? Would you do everything and anything possible to BRING HER HOME ? We went out in public to share her story. We met so many people who genuinely had no idea about what happened on the 7th and were shocked at what they heard and saw. Please don’t stop sharing all the innocent hostages stories so the world doesn’t forget. BRING THEM HOME",1
Why Israel's widely parroted claims of sexual violence by Hamas on Oct. 7th are not credible. A summary:,-1
Are you aware of what’s been happening before Oct 7 and since then ? This #GazaGenocide‌ #IsraeliCriminalMassacres #IsraeliCrimes,-1
"Planned Parenthood was made by Margaret Sanger, a known eugenics, with the KKK to control the Jew population. When I say Jew, I mean the 12 lost tribes of Judah, the blood of Christ, who the people known as the race Black really are. This is who our people are",-1
"Demonstrating how israel uses Propaganda and lies to the point of forgetting their own lies. The video released today shows Naama Levy’s bloody injured hands tied behind her back touching her butt. They today Debunked themselves when they released the video, they prove what everyone has been saying since the start, SHE WAS NEVER RAPED, it’s blood stains from her injured wrists.",-1
Thank you for creating awareness where needed. 🇮🇱,1
“this brutal violent horrible terror attack is still ongoing because our young girls are still kept in the hands of this terror organization”,1
"You meant , thank you for letting me cast my objective reality and spread the lies. Nuremberg 2.0 is on the way.",-1
israeli awareness = lying,-1
"Waters then credited several alternative news outlets for “debunking all the filthy, disgusting lies that the Israelis told after October the 7th about burning babies and women being raped",-1
"Naama Levy is an israeli soldeir aka prisoner of war, the stains on her pants are from the blood on her hands dripping. Your victim game and crocodile tears are not working.",-1
"The New York Times featured a story about how the Israeli Occupation is using rape as weapon of war during their ongoing genocide on Gaza, burying the information at the very bottom of one of their articles as if these horrific crimes are some kind of footnote to go unmentioned in the headline or subheadline.",-1
"According to UN no one was raped, there is no evidence so why are you spreading propaganda?",-1
Free falestine! This is what it takes to make truth out of a lie! You are so desperate that your people are making art from something so false. You truly make me question the Holocaust.,-1
I’m a bit sleepy tonight but when I wake up I’m going death con 3 On JEWISH PEOPLE. The funny thing is I actually can’t be Anti Semitic because black people are actually Jew also You guys have toyed with me and tried to black ball anyone whoever opposes your agenda,-1
"I am an Ex-Muslim.

I grew up learning to hate Jews.

Most Muslims grow up and learn to hate Jews.

No group hates another group as much as Muslims hate Jews.

This did not start on October 7, not in 1948, and not in 1920. This started 1,400 years ago.",1
"My disdain of these groups comes from my own interactions with nasty Hindus and nasty Zionists

Not my fault that your upbringing which didn’t even teach you basic Arabic led you to have these [fond] beliefs against Jews as a people",-1
My favorite recent insight is that the source material in the Koran for the night miracle and the basis of Al Aqsa in Jerusalem are not only historically flawed (Jerusalem was conquered after the prophet died) but also conceptually not in the source text AT ALL. Look for yourself and know the truth.,1
"a Zionist fanatic at the Oxford Union angrily asks George Galloway if he is racist because of his opposition to the genocidal Israeli occupation, and is applauded by the audience.",-1
All the Zionists are racists. All the Zionists are terrorists. This should be a chart topper!,-1
Ugly Zionist Nazis,-1
dont forget what noah schnapp did and boycott this disgusting show full of zionists,-1
"I'm am removing ALL JEWS from my life. I don't give a shit if they're ""innocent"" or not, anymore. Their silence is violence.",-1
No more Jewish doctors or Jewish friends; I can't risk it.,-1
"If I want Jews out of power, then I first must remove them from my life and lead by example.",-1
The Jews silence is violence. Indeed.,-1
"🇵🇸 A restaurant in Hanoi, Vietnam refused to serve Israeli customers.

“My shop doesn't accept people from your country.”",-1
"A Jеwish mаfiа runs our civilizаtiоn, hаting our Gоd and trаditions. They are not our аllies. The world is finally wаking up to their truе nаture.",-1
Why is it illegal to treat Jews like they treat us?,-1
"Sending so much love strength & fight to all of the Hostages.
Please please send them the strength and willingness to survive & fight.
Sending all their families love & the strength to fight & stay sane.",1
Praying for all the IDF soldiers for a safe return,1
"Meet Liel & Yannai Hetzroni, 12-year-old twins who lived in Kibbutz Be'eri. On October 7, after terrorists set fire to the house they were in, Liel texted a teacher to say she was suffocating to death. 

The house was burned to the ground. It took two weeks to identify the remains of Yanai through DNA and even longer to confirm Liel had been murdered because her body was reduced to ash.

When 
@rogerwaters
 tells you that children weren't murdered on October 7 - look into the eyes of these children and tell him to F*CK RIGHT OFF.",1
SHABBAT SHALOM ✡️🇮🇱🎗️✡️🇮🇱🎗️,1
"Life. Liberty. The pursuit of freedom.

These are the aspirations and promise of every American citizen - including the 5 being held hostage in Gaza. Say their names. Bring them home.

🇺🇸 Edan Alexander 
🇺🇸 Sagui Dekel-Chen 
🇺🇸 Hersh Goldberg-Polin
🇺🇸 Omer Neutra 
🇺🇸 Keith Siegel",1
"120 Hostages still can't celebrate their independence, BRING THEM HOME NOW 🎗️",1
"When Israel retaliates against Hezbollah, if Iran does indeed get involved like it says it will, you will witness the real might of the IDF and the nature of the strong Israel America partnership. There will be very little left of Lebanon or Iran.  Mark my words. Gaza will seem like child’s play.",1
"Alon Ohel, a free spirit and a talented musician with the biggest heart. Alon is all grown up now, but is still that same joyful child, loved by his friends and family.

This loving boy can’t play his piano, can’t hang out with his friends and can’t hug his family, because he is being held hostage for 272 days.

The unbearable pain can’t go on.
We cannot keep waiting. 
We need to sign a deal to bring Alon and all 120 hostages home. Now!

#BringThemHomeNow
#TurnTheHorrorIntoHope",1
"I wanna make sure “we” get this narrative straight & clear in real time.
EVERYDAY literally EVERYDAY since 10/7 HEZBOLLAH has been attacking Israel with missiles & rockets causing fires,terror & evacuations in North Israel.100K people are displaced because of this.NARRATIVE time, when Israel destroys HEZBOLLAH in Lebanon don’t say SHIT. These pics below are just some of  TODAYS attacks",1
"SHABBAT SHALOM!!!!
Sending so much love strength & fight to all of the Hostages.
Please please send them the strength and willingness to survive & fight.
Sending all their families love & the strength to fight & stay sane.
Praying for all the IDF soldiers for a safe return!
Somehow we’re at 273 Days 
#bringthemhomenow🎗️💔",1
"Yes am Iraqi 🇮🇶 & Arab, but I want to remind everyone that Jews ✡️ aren’t going anywhere & #Israel 🇮🇱 is here to remain.
I am proudly standing with my Jewish cousins, & I hope that peace & prosperity will prevail upon the people of Israel 🇮🇱 with the defeat of H*amas ter*rorists.",1
"This 4th of July, they are not free. Eight Americans are still being held hostage by Hammas Terrorists in Gaza",1
BURY HAMAS & ALL PROXIES,1
You don't get to choose how the Palestinians resist,-1
Hezbollah has a right to defend itself.,-1
"Day 272: If you're celebrating the July 4th holiday with your friends and family, we want to remind you that Hersh's seat at his family table remains empty. Help bring him home. #Bring_Hersh_Home #BringThemAllHomeNOW",1
"despite the the lie of ""forced starvation"", the restaurants in Gaza are still full",1
"Response for an assassination 
You don’t get it do you?
The days of Israel killing people without  a 
Response is over buddy.",-1
"(1) Add the IDF attack data

(2) IDF killed 400+ 🇱🇧 vs 26 🇮🇱 because of the sheer scale of IDF attacks

(3) This specific attack came in retaliation of the killing of a Hezbollah leader.

-Important info don’t you think?",-1
"Hezbollah joined  Hamas after Israel responded to October 7 massacre. They are attacking Israel for 9 (!) Months daily. Over 100K Israelis are displaced & there is devastation in Northern Israel. So targetting senior Hezbolla members, is a small price. Lebanon is still intact.",1
"We’re waiting for you, all of you.
A deal is the only way to bring all the hostages home- the murdered for burial and the living for rehabilitation.

#BringThemHomeNow 
#TurnTheHorrorIntoHope",1
"“Not only my children but a lot of other children were murdered, burnt, tortured. This is not a fabrication. This is actually something that happened… I strongly condemn what he said in every single way possible...For Roger Waters to come out with these unsubstantiated lies is a complete ant other disgusted and an insult to all the murdered victims.”",1
"Along with my dear friend Roger Waters, I stand in support of Andrew Feinstein, independent candidate for Holborn and St Pancras, in his fight for the children of Gaza, for the freedom of the people of Palestine, and for the soul of the human race... Against the genocide in Gaza... For love and Truth... Eric C",-1
"We #Jews aren’t going anywhere my dear bigot. 

#AmYisraelChai btw 😉🇮🇱❤️🤘🏻",1
"Do you care about the hostages? As a humanitarian I would expect from you to call for their release. Innocent civilians that were taken from their homes , kids , babies, the elderly. Where is your compassion? Call for the release of our people. Thanks .",1
The entire world stands with Palestine 🙏❤️🇵🇸,-1
We are all palestinians 🙏,-1
"Real Jewish people oppose the Western colonization of Palestine.

Palestinian Jews, Muslims, Christians have the right for self-determination. They have the right to be left alone.",-1
Without Hamas there wouldn’t be any innocent Palestinians left alive. Like it or not Hamas is their last line of defense.,-1
There is no «Palestine» and there will never be a «Palestine».,1
"Welcome to the struggle. 

Long live Palestine  🇵🇸",-1
No such thing as palestine,1
Thank you ♥️🇵🇸 #IsraelisGenocidalState,-1
The entire world may stand with Palestine BUT when will the entire world decide to physically STOP Israel?,-1
"The only ""tears in heaven"" are shed by the innocent victims of the monstrous fiends you so fervently champion—beings whose only relentless pursuit is the complete annihilation of Israel and the cold-blooded genocide of Jewish lives worldwide.

Your failure to discern truth from the twisted fabric of alternate facts and falsified history casts a dark shadow over the sincerity of your own music. It's as if you've chosen to play a discordant tune in a symphony of lies.

At this point, you’ve branded yourself with an indelible stain—a mark of disgrace that will tarnish your legacy long after you’ve departed from this world.",1
"Hi 
@EricClapto
, let's everyone stand with Palestine. 
Let's continue allowing child abuse, indoctrinating kids to become martyrs as the top achievement in their life.",1
There is no genocide in Gaza,1
"If it helps, here I am also supporting Gaza, and against any possible genocide",-1
"Rescued Israeli hostages were starved, beaten ‘almost every day’ in Hamas captivity: ‘Beyond comprehension’",1
"What genocidal haters will say, to coerce us into taking their side, is that if you're for the safety of innocent children, the freedom of oppressed people, and the soul of the human race, then you're pro-Hamas.",-1
It’s not a genocide. You stand with people who cheered the massacre of civilians on the streets of Gaza after 10-7. Own it. Being friends with Roger Waters only makes it worse.,1
Even UN says there's no famine in Gaza,1
"Before October 7, such children were treated in Israel, paid by Israeli taxpayer",1
"⚠️This is what Hamas did to Palestinian civilians who tried to get humanitarian aid from a warehouse in Gaza. 

They bound their hands. 

They bound their eyes. 

They flogged them in public. 

They beat them with sticks. 

All because they wanted some food. ",1
"Zionist' is just another name for a Jew.
Blatant antisemitism.

Anti Zionism is Antisemitism.

IT WAS NEVER ABOU PALESTINE.

#zionism
#Antisemitism",1
"Honestly, she deserved to be h@nged for hiding a Zionist in her house",1
"This is Ariel Bibas. 

He is just 4 years old. 

Ariel loves playing with toy tractors. 

His favourite superhero is Batman.  

He loves wearing costumes. 

But for 272 days Ariel hasn’t been able to be a normal child. 

He has been held hostage in Gaza.

No child deserves this.",1
"It’s been almost 9 months since this little boy, Ariel Bibas, was kidnapped from his home. 

He is just 4 years old. 

Here are 9 things to know about Ariel: 

1️⃣ 🧑🏻‍🦰His parents Yarden and Shiri gave him the nickname Chooky, the rest of the family call him Lulu.
 
2️⃣ 🤰While Shiri was pregnant with him, his nickname was Hector. After he was born, he was known as “the first Yemenite redhead”.
 
3️⃣ 🚜Ariel loves tractors and modes of transportation like his father. He likes to travel in them, clean them and fix them.
 
4️⃣🦇Ariel’s favourite superhero is Batman. Shiri and Yarden encouraged this love as much as possible as can be seen in the well-known family photo of them all wearing Batman pyjamas.
 
5️⃣🍊He loves to pick kumquat fruits with his grandmother whom he would call “Ninni”.
 
6️⃣🍗Like his mother and father, he prefers eating meat to sweets,
 
7️⃣👧🏻His best friends are his cousin Toam and Oren from kindergarten. They are both waiting for him.
 
8️⃣🧔🏽‍♂️He really misses his father, Yarden who would sit by his side until he fell asleep at night.

9️⃣♌️Ariel’s star sign is Leo. His birthday is on 5th August, in less than a month. Ariel needs us because he can’t mark his birthday in captivity.

Ariel Bibas has been helped captive for 272 days, almost 9 months. ",1
Keep telling us it's just anti Zionism and not antisemitism.,1
"Hamas, the chosen government of Gaza, kidnapped Ariel Bibas 272 days ago.",1
I want to make it crystal clear: I am with Israel wholly and completely. ,1
give Israel the weapons they need to win the war they can’t afford to lose. ,1
"Who would you prefer as your leader: one who is willing to kill all their enemies to rescue you from being a hostage, or one who takes you and your kids as hostages to serve as human shields in a war?",1
FCKHAMAS,1
An Israeli gets to live like a Palestinian for 3 minutes and look how victimized he feels. Whats even funnier he is recording like this is western social media and hes gonna get the dude cancelled you’re in Vietnam nobody cares lol,-1
I will always support giving Israel the weapons and the space they need to destroy Hamas so there is never another October 7. ,1
"What has been happening since Octobеr 7th is a delibеrаte аttеmpt to еthnicаlly clеаnsе the Gаza strip. Isrаеl is crеating a humаnitаrian nightmаrе, and more refugeеs will be sеnt to Europe and America.",-1
"What's happening in Gaza is beyond horrible.. 

It's so sad. They have been in my prayers since the day Israel started attacking. 🙏🏻📿",-1
The Palestinians in Gaza are the most radicalized population on the planet who are taught to hate Jews from birth. It will take years to fix this problem. ,1
Legend! 🙌 free palestine!,-1
"When I hear “from the river to the sea,” it reminds me of “the Final Solution.” The Hamas terrorists are the SS on steroids. ",1
"Once they start shouting this “because I’m Jewish” and start recognizing it’s because they are Israeli, things will change. Because then they can’t hide behind the whole antisemitism thing.",-1
Never again. 🇮🇱,1
"It’s immaterial whether or not one is Jewish, as many Evangelical Christians are Zionists. Anyone who supports Israel’s barbarity, whoever and whatever they worship, deserves nothing but contempt.",-1
Save humanity 🙏🇵🇸,-1
"38000 Palestinians killed in 9 months... half of them are children just.. how do you even kill that much, without consequences?",-1
"🇵🇸🇮🇱 Israel sentenced this little girl to having her mouth blown off.

Her crime?

Existing.

We have to cut all ties with that nation of satan.

This is so horrible.

Poor girl 💔",-1
Avoid saying “Gazan”. It’s Palestinian in Gaza. The imperialists want to minimize the use of Palestine or Palestinian.,-1
"I always called them Palestinians.
Until, here, in Brazil, we didn't know what the right name was, they were always Palestinians
And now, with the clear annexation of the West Bank, we cannot make the distinction, all Palestinians are subject to colonization, from Rafah to Nablus",-1
"When I say free Gaza from Hamas, this is what I meant. Hamas terrorists not only terrorize Israeli Arabs and Jews but also Palestinians in Gaza who just wanted food because Hamas keeps stealing it from them. Where are all the human rights activists? Where is the UN and all the human rights organizations and where are all the anti-Israel protesters? Let’s see if you really care about the Palestinians when they need you!

Free Palestine from Hamas!",1
"#FreePalestine 
...and see what happens.",1
"GRAPHIC WARNING But world must see the pure evil of #Hezbollah! Today, they fired a rocket on #MajdalShams in northern Israel. They murdered 11 CHILDREN. Beautiful, innocent, children - bodies thrown, limbless, massacred. They were just playing football. Pure act of evil!",1
the UN stays silent again. My heart goes out to the families and communities affected by this attack.,1
Where is Kąmala Hąrris condemning the killing of innocent Israeli children???,1
"As a Lebanese, I would like to present my sincere condolences to the Israeli people and the Parents of the 11 children whose lives were cut short by the Freaking Hezbollah!",1
😪😪💔🙏🙏🙏🇮🇱🇮🇱🇮🇱,1
"This was a tragic event. My heart goes out to the victims' families. However, I am not convinced that this photo is genuine. I won't go into details, but some artifacts in the image suggest it might be AI-generated.",-1
Atrocious and heartaches which will never heal. Baruch Dayan Ha Emet. May their memories be for blessings. Tragic losses.,1
"This proves that there were no babies beheaded on Oct 7 or baked in ovens. The Jewish community would have shoved it in the faces of everyone everyday hundreds of times. 

The first opportunity they get they do it. Like this photo. 

Turns out even Israelis are saying it was iron dome. 

Yikes",-1
Idf is using Jews as human shields!,-1
"Unbelievably sad and made me sick to my stomach just looking at it.  Random attacks on civilians is wrong.  War is wrong, but how else do you put an end to these kinds of acts.  Violence begets violence.  When will people grow up mentally?  When will people stop thinking they need to have power and control over others if people simply want to live their lives, grow and prosper?  Why not create rather than destroy?",0
Head up. God is on the side of love & peace. They crossed the red line of being human. God hates that shit.,1
"Nothing will be achieved by removing the leaves, the roots should be uprooted.

Stad with Israeli Brothers and Sisters 🤝",1
Israel MUST respond forcefully.,1
How many kids in gaza have the Israelis killed?,-1
War is sad. How many families in Gaza cheered on Oct 7th?,1
Would have been ZERO dead if the Palestinians would not let terrorists live within their communities & then allowed the terrorists to launch an attack on Israel. There would still be peace if someone had alerted Israel on Oct 6 that this was being planned.,1
"Her cries broke me 💔 

Devastating night for all of Israel 
#MajdalShams",1
"#ISRAEL #MAJDALSHAMS

Video from the moment of the fall on the football field in Majdal Shams - 12 children killed, more than 20 in serious condition. This is the most serious event since the beginning of the war in the north.

All the victims in Majdal Shams are between 9 and 20 years old. Some sources write that the Druze have already announced that they will not leave the Hezbollah attack without consequences. I note that until recently, the Druze of the Golan Heights considered themselves exclusively Syrians and even sent their children there to study. In recent years, the situation has begun to change and many have accepted Israeli citizenship. However, they continue to maintain close ties with the Druze community in Syria, where over 800 thousand of their brothers live. The Syrian Druze have always been loyal to Assad, but now, on the contrary, they are demonstrating against the Syrian regime. In a word, Hezbollah carried out this attack in vain. It can lead to serious consequences.

The world/international community is still blind, deaf and dumb towards Israel.

#Druze #DruzeVillage #Hezbollah #drone #killed #wounded #kids #children #teenagers
#IsraelUnderAttack #terroristattack #terror #rockets #internationalcommunity #worlcommunity
#internationalcommunityBLIND 
#condemn",1
"Terrorist attack by the Hezbollah Terror group at the Football ground #MajdalShams in Israel. 9 kids killed and 30+ injured.

This is the major escalation by Hezbollah.",0
ALL EYES ON NORTH ISREAL,1
"#WATCH : More video of the soccer field in Majdal Shams after Hezboallah attckk at Majdal Shams in the Golan.

More than 11 civilians hurt, including 5 critically.

#Hezbollah #Rocket #Strike #MajdalShams #Golan",0
"Shalom,
Today’s ter*rorist attack by H*izbullah ter*rorists that targeted #MajdałShams football field in Northern Israel, in a Druze community, ended up mur*dering over 12  children & injured others, proved that the so called “resistance” wing targets anyone inside Israel 🇮🇱, be it Jew, Muslim or Druze, old or young, that included H*outhis ter*rorists who in their last attack targeted a civilian building in Tel Aviv, & not to forget H*amas ter*rorists who invaded Israel on October 7th, mur*dering not only men & women, but even children.
I hope & wish for the silent world to break its silence & support #Israel 🇮🇱 in the wake of this massacre, & hold Iranian 🇮🇷 regime accountable for its crimes.
My family & I, send our condolences to the families of the victims, may their memory be a blessing. 
#MajdalShamsMassacre",1
"Today they will tell you killing children is not allowed. Tomorrow they will visit Aurangzeb's tomb. They don't believe their own lies, they want YOU to believe them. #Israel #Hezbolah #MajdałShams #Paris",-1
"#ISRAEL #MAJDALSHAMS

Hezbollah drone explodes in Druze village, many wounded, some are hopeless.

Around half past six in the evening, a drone launched from Lebanon exploded on a sports field in the Druze village of Majdal Shams in the Golan Heights.

Majd al Shams in northern Israel. A direct hit by a rocket on the stadium. At the moment, 10 people are dead and dozens are wounded. Some of the victims are children and teenagers.

The world/international community is still blind, deaf and dumb towards Israel.

#Druze #DruzeVillage #Hezbollah #drone #killed #wounded #kids #children #teenagers
#IsraelUnderAttack #terroristattack #terror #rockets #internationalcommunity #worlcommunity
#internationalcommunityBLIND 
#condemn",1
All eyes on MAJD AL SHAMS,1
"Dear world leader: If your statement condemning the massacre in #MajdalShams cannot even mention Hezbollah, and yet you also call on “all sides to “exercise restraint”, better you say nothing at all!",1
"#BREAKING #ISRAEL #MajdalShams

🔴 ISRAEL :📹 xHEZBOLLAH STRUCK A SOCCER FIELD IN THE NORTHERN DRUZE TOWN OF MAJDAL SHAMS

At least 11 civilians were injured, 5 people in critical condition, 6 seriously wounded.

#Ultimahora #Attack #Ataque #Aéreos",0
"Rockets launched from #Syria 🇸🇾 landed in the #Druze town of #MajdalShams in northern Golan Heights.
🚀🚀🚀💥
#IsraelPalestineWar",0
"🔺🚨Moment rockets fell on Majdal Shams in the occupied Syrian Golan just moments ago.
#MajdalShams #GolanHeights #Syria 🇸🇾",-1
"😉 Welcome to #Paris2024 #OlympicGames 
#FreePalestine 🇵🇸
#BanIsrael",-1
Liberté. #FreePalestine #Paris2024 #CeremoniaDeApertura,-1
"An honest Jewess, Ashkenazi are genetically European with high levels of genetic diseases from inbreeding. 
#FreePalestine 

90% of American Jews are Ashkenazi
80% of Global Jewry are Ashkenazi 
#Israel was founded for EUROPE'S Jewish population",-1
All eyes on Majdal Shams,1
Good. Let this be a lesson. Don’t support a genocide. #FreePalestine,-1
"Dishonest Jewess. 

Palestinian DNA traces back to #Palestine 12,000 years.

Ashkenazi DNA traces back to Europe, they mass converted to Judaism 780 years AFTER Jesus.

There's Israelites then there are Jews.

#FreePalestine",-1
"This was the guy who also disrupted pro-Palestine protest here in Japan. What a delightful individual.

I hope Israel’s athletes are booed into obscurity in Paris. They shouldn’t be competing imho.

#FreePalestine",-1
"Despite the shameful refusal of the IOC to #BanIsrael from the Olympics, the Palestinian team, whose people are undergoing genocide by that apartheid state, are representing their nation with resilience, dignity and courage.  #FreePalestine",-1
Could someone please explain to me why our mainstream media fail to cover the most important story in 100 years: ISRAEL'S GENOCIDE OF A DEFENCELESS CIVILIAN POPULATION!!!! #IsraeliNazis #GenocideInPalestine #FreePalestine #auspol,-1
All 👀 on #MajdalShams now!,1
"Just ordered my belal Muhammad Palestine shirt! 
@bullyb170
 #FreePalestine you got this belal inshallah 🤲 🇵🇸🤍 
#UFC304",-1
"70 million Americans have a record there are more than 40,000 legislations in the United States to ensure only the chosen ones at the top advance in society. 
Americans should listen to their reality. USA is hopeless in the Israeli dictatorship. 
#FreePalestine and yourselves.",-1
"The #ICJ has confirmed that Israel is a genocidal apartheid state. Neutrality is not an option. Silence is not an option. Boycott, disinvestment, arms embargo, and any other legal means to bring the regime down are an obligation. #BDS #StopGazaGenocide #FreePalestine #Gaza",-1
"#StopGenocide
#FreePalestine
✊🏿",-1
ISRAEL KILLS A CHILD IN GAZA EVERY 10 MINUTES #FreePalestine,-1
"A little reminder for everyone to speak up and stand with people against cruelty 

#freepalestine #Bangladesh #Iranians",-1
"👏🏽👏🏽Well done Kanye West. It takes a lot of courage to say the truth 👏🏽👏🏽
#FreePalestine 🇵🇸 
#CeaseFireNow 🇵🇸",-1
"There are no moderates in the Zionist regime; they are all psychopathic maniacs.

#FreePalestine",-1
"Terrorists Israeli killed Palestainian family in barbarian way.

#GazaGenocides #FreePalestine #Gaza",-1
"BREAKING :

Israel is dropping bombs on civilian homes in South Lebanon.

This is not “victim” behavior.

This is terrorism.
#FreePalestine",-1
#IsraeliNazis,-1
"Quds is ours.
#FreePalestine",-1
"Giving Netanyahu a standing ovation is an insult to humanity
Shame 😡

A bloody killer of humans 🤬

#Palestine #GazaGenocide #Gaza #FreePalestine #IsraelTerrorists #NetanyahuWarCriminal #Israel #USA",-1
"The Rats keep proving they are Fiflty MF.
#FREEPALESTİNE #Isreal",-1
"During their 2-4 loss against Paraguay at the Paris 2024 Olympics, the Israel Olympic football team were met with a full crowd of boos during their national anthem and throughout the game!
Palestinian flags were present! 🇵🇸
#FreePalestine #PARIS2024 #Paris2024Olympics #Olympics",-1
"John Oliver has just said out loud that Israel is committing genocide, on HBO and his YouTube channel with 10 million subscribers.

HE JUST DID.",-1
